CustomerID,Recency,Frequency,Monetary,Cluster,Segment,CLV
12347.0,2,7,4310.0,0,Churned Customers,30170.0
12348.0,75,4,1797.24,3,New Customers,7188.96
12349.0,19,1,1757.55,1,Loyal Customers,1757.55
12350.0,310,1,334.4,2,Potential Loyalists,334.4
12352.0,36,8,2506.04,0,Churned Customers,20048.32
12353.0,204,1,89.0,2,Potential Loyalists,89.0
12354.0,232,1,1079.4,2,Potential Loyalists,1079.4
12355.0,214,1,459.4,2,Potential Loyalists,459.4
12356.0,23,3,2811.43,3,New Customers,8434.289999999999
12358.0,2,2,1168.06,1,Loyal Customers,2336.12
12360.0,52,3,2662.06,3,New Customers,7986.18
12361.0,287,1,189.9,2,Potential Loyalists,189.9
12363.0,110,2,552.0,1,Loyal Customers,1104.0
12364.0,8,4,1313.1,3,New Customers,5252.4
12365.0,291,2,641.38,2,Potential Loyalists,1282.76
12367.0,4,1,168.9,1,Loyal Customers,168.9
12370.0,51,4,3545.69,0,Churned Customers,14182.76
12371.0,45,2,1887.96,3,New Customers,3775.92
12372.0,72,3,1298.04,3,New Customers,3894.12
12373.0,311,1,364.6,2,Potential Loyalists,364.6
12374.0,25,1,742.93,1,Loyal Customers,742.93
12375.0,11,2,457.5,1,Loyal Customers,915.0
12378.0,130,1,4008.62,0,Churned Customers,4008.62
12379.0,82,2,852.24,1,Loyal Customers,1704.48
12380.0,22,4,2724.81,0,Churned Customers,10899.24
12381.0,5,5,1845.31,3,New Customers,9226.55
12383.0,185,5,1850.56,3,New Customers,9252.8
12384.0,29,2,585.27,1,Loyal Customers,1170.54
12388.0,16,6,2780.66,0,Churned Customers,16683.96
12390.0,80,1,549.84,1,Loyal Customers,549.84
12391.0,22,1,460.89,1,Loyal Customers,460.89
12393.0,72,4,1582.6,3,New Customers,6330.4
12394.0,64,2,1272.48,1,Loyal Customers,2544.96
12397.0,36,2,2409.9,3,New Customers,4819.8
12398.0,46,1,1635.66,1,Loyal Customers,1635.66
12399.0,119,4,1108.65,3,New Customers,4434.6
12401.0,303,1,84.3,2,Potential Loyalists,84.3
12403.0,50,1,427.7,1,Loyal Customers,427.7
12405.0,149,1,1710.39,2,Potential Loyalists,1710.39
12406.0,22,2,3415.3,0,Churned Customers,6830.6
12407.0,50,5,1708.12,3,New Customers,8540.599999999999
12408.0,33,5,2888.55,0,Churned Customers,14442.75
12410.0,309,2,693.33,2,Potential Loyalists,1386.66
12412.0,75,3,1226.88,3,New Customers,3680.6400000000003
12413.0,67,3,758.1,1,Loyal Customers,2274.3
12414.0,217,3,562.41,2,Potential Loyalists,1687.23
12417.0,3,9,3649.1,0,Churned Customers,32841.9
12418.0,113,1,668.58,1,Loyal Customers,668.58
12420.0,64,1,600.39,1,Loyal Customers,600.39
12421.0,16,4,807.04,3,New Customers,3228.16
12422.0,96,3,803.56,1,Loyal Customers,2410.68
12423.0,1,8,1859.31,0,Churned Customers,14874.48
12424.0,163,2,1760.96,2,Potential Loyalists,3521.92
12425.0,78,1,777.2,1,Loyal Customers,777.2
12426.0,195,1,582.73,2,Potential Loyalists,582.73
12427.0,22,3,825.8,1,Loyal Customers,2477.3999999999996
12429.0,9,4,3750.4,0,Churned Customers,15001.6
12430.0,43,1,256.4,1,Loyal Customers,256.4
12432.0,43,5,5059.32,0,Churned Customers,25296.6
12434.0,85,2,806.14,1,Loyal Customers,1612.28
12436.0,100,1,509.01,1,Loyal Customers,509.01
12438.0,14,2,2906.85,3,New Customers,5813.7
12442.0,3,1,172.06,1,Loyal Customers,172.06
12444.0,21,5,5005.46,0,Churned Customers,25027.3
12445.0,22,1,133.4,1,Loyal Customers,133.4
12446.0,58,1,1002.31,1,Loyal Customers,1002.31
12447.0,243,1,476.49,2,Potential Loyalists,476.49
12448.0,44,1,449.45,1,Loyal Customers,449.45
12449.0,22,4,4067.29,0,Churned Customers,16269.16
12450.0,156,2,197.88,2,Potential Loyalists,395.76
12452.0,17,2,430.57,1,Loyal Customers,861.14
12453.0,134,1,707.09,1,Loyal Customers,707.09
12454.0,56,1,3528.34,0,Churned Customers,3528.34
12455.0,73,6,2466.86,0,Churned Customers,14801.16
12456.0,44,3,3181.04,0,Churned Customers,9543.119999999999
12457.0,66,7,2363.23,0,Churned Customers,16542.61
12458.0,71,2,947.4,1,Loyal Customers,1894.8
12461.0,94,2,826.88,1,Loyal Customers,1653.76
12462.0,19,2,1189.59,1,Loyal Customers,2379.18
12463.0,53,4,1344.78,3,New Customers,5379.12
12464.0,10,8,1212.05,3,New Customers,9696.4
12465.0,17,2,742.19,1,Loyal Customers,1484.38
12468.0,188,2,729.54,2,Potential Loyalists,1459.08
12473.0,29,5,3938.55,0,Churned Customers,19692.75
12475.0,54,1,723.38,1,Loyal Customers,723.38
12478.0,4,1,680.99,1,Loyal Customers,680.99
12479.0,11,1,527.2,1,Loyal Customers,527.2
12480.0,28,4,3281.63,0,Churned Customers,13126.52
12483.0,17,8,2484.98,0,Churned Customers,19879.84
12484.0,33,6,4541.72,0,Churned Customers,27250.32
12488.0,10,3,1298.66,3,New Customers,3895.9800000000005
12491.0,39,1,460.4,1,Loyal Customers,460.4
12492.0,63,2,263.21,1,Loyal Customers,526.42
12493.0,166,2,433.74,2,Potential Loyalists,867.48
12494.0,16,7,1246.1,3,New Customers,8722.699999999999
12497.0,82,1,1043.1,1,Loyal Customers,1043.1
12498.0,21,3,403.7,1,Loyal Customers,1211.1
12502.0,96,5,3723.87,0,Churned Customers,18619.35
12504.0,18,2,482.05,1,Loyal Customers,964.1
12506.0,233,1,73.5,2,Potential Loyalists,73.5
12507.0,134,3,1304.81,3,New Customers,3914.43
12508.0,26,2,398.27,1,Loyal Customers,796.54
12509.0,284,1,176.5,2,Potential Loyalists,176.5
12510.0,143,2,982.57,2,Potential Loyalists,1965.14
12512.0,66,2,138.03,1,Loyal Customers,276.06
12513.0,113,1,612.29,1,Loyal Customers,612.29
12514.0,267,1,1017.68,2,Potential Loyalists,1017.68
12516.0,78,2,1312.06,1,Loyal Customers,2624.12
12517.0,28,5,2502.84,0,Churned Customers,12514.2
12518.0,1,5,2056.89,3,New Customers,10284.449999999999
12519.0,64,1,340.84,1,Loyal Customers,340.84
12520.0,79,5,2634.26,0,Churned Customers,13171.300000000001
12521.0,143,1,599.68,2,Potential Loyalists,599.68
12522.0,39,2,192.72,1,Loyal Customers,385.44
12524.0,9,8,4485.72,0,Churned Customers,35885.76
12526.0,1,3,1316.66,3,New Customers,3949.9800000000005
12527.0,82,3,348.71,1,Loyal Customers,1046.1299999999999
12528.0,9,6,1933.48,3,New Customers,11600.880000000001
12530.0,60,4,1662.28,3,New Customers,6649.12
12531.0,15,1,125.22,1,Loyal Customers,125.22
12532.0,30,1,349.83,1,Loyal Customers,349.83
12534.0,131,1,1089.18,1,Loyal Customers,1089.18
12535.0,92,2,716.35,1,Loyal Customers,1432.7
12538.0,29,1,363.95,1,Loyal Customers,363.95
12539.0,22,4,5568.35,0,Churned Customers,22273.4
12541.0,30,3,981.18,3,New Customers,2943.54
12544.0,36,1,372.7,1,Loyal Customers,372.7
12545.0,75,2,1000.39,1,Loyal Customers,2000.78
12546.0,47,2,1161.5,1,Loyal Customers,2323.0
12547.0,198,2,207.8,2,Potential Loyalists,415.6
12548.0,166,1,95.2,2,Potential Loyalists,95.2
12550.0,79,1,964.83,1,Loyal Customers,964.83
12552.0,39,2,437.82,1,Loyal Customers,875.64
12556.0,50,2,603.71,1,Loyal Customers,1207.42
12558.0,8,1,269.96,1,Loyal Customers,269.96
12559.0,311,2,561.71,2,Potential Loyalists,1123.42
12560.0,5,3,2134.01,3,New Customers,6402.030000000001
12561.0,303,1,238.85,2,Potential Loyalists,238.85
12562.0,8,7,3781.74,0,Churned Customers,26472.18
12564.0,261,1,456.9,2,Potential Loyalists,456.9
12565.0,289,1,145.92,2,Potential Loyalists,145.92
12566.0,86,1,351.65,1,Loyal Customers,351.65
12571.0,40,2,519.61,1,Loyal Customers,1039.22
12572.0,9,2,1020.42,1,Loyal Customers,2040.84
12573.0,227,1,160.54,2,Potential Loyalists,160.54
12576.0,36,5,1315.83,3,New Customers,6579.15
12577.0,35,3,657.8,1,Loyal Customers,1973.3999999999999
12578.0,21,2,2794.51,3,New Customers,5589.02
12579.0,78,1,440.42,1,Loyal Customers,440.42
12580.0,247,1,415.7,2,Potential Loyalists,415.7
12581.0,40,1,197.71,1,Loyal Customers,197.71
12582.0,239,2,511.36,2,Potential Loyalists,1022.72
12584.0,4,9,2338.15,0,Churned Customers,21043.350000000002
12585.0,234,2,2040.1,2,Potential Loyalists,4080.2
12586.0,17,1,196.94,1,Loyal Customers,196.94
12587.0,8,1,144.0,1,Loyal Customers,144.0
12588.0,39,1,214.9,1,Loyal Customers,214.9
12589.0,29,2,646.68,1,Loyal Customers,1293.36
12592.0,92,2,437.6,1,Loyal Customers,875.2
12593.0,109,3,418.1,1,Loyal Customers,1254.3000000000002
12596.0,51,2,618.27,1,Loyal Customers,1236.54
12597.0,19,4,3811.22,0,Churned Customers,15244.88
12598.0,10,8,3023.08,0,Churned Customers,24184.64
12599.0,29,7,1032.58,3,New Customers,7228.0599999999995
12601.0,190,5,577.06,2,Potential Loyalists,2885.2999999999997
12602.0,59,1,153.12,1,Loyal Customers,153.12
12603.0,22,1,739.2,1,Loyal Customers,739.2
12604.0,79,2,254.18,1,Loyal Customers,508.36
12607.0,60,1,1579.51,1,Loyal Customers,1579.51
12609.0,78,3,1126.85,3,New Customers,3380.5499999999997
12610.0,23,5,2099.54,3,New Customers,10497.7
12611.0,52,1,1193.32,1,Loyal Customers,1193.32
12612.0,74,1,704.04,1,Loyal Customers,704.04
12613.0,57,5,3344.38,0,Churned Customers,16721.9
12614.0,278,1,315.6,2,Potential Loyalists,315.6
12615.0,2,4,2291.19,3,New Customers,9164.76
12616.0,95,2,713.3,1,Loyal Customers,1426.6
12617.0,29,1,355.53,1,Loyal Customers,355.53
12618.0,22,1,177.31,1,Loyal Customers,177.31
12619.0,16,9,3641.24,0,Churned Customers,32771.159999999996
12620.0,15,3,1339.41,3,New Customers,4018.2300000000005
12622.0,232,1,180.1,2,Potential Loyalists,180.1
12623.0,276,1,305.1,2,Potential Loyalists,305.1
12624.0,106,2,641.13,1,Loyal Customers,1282.26
12625.0,212,2,2683.82,2,Potential Loyalists,5367.64
12627.0,11,7,4478.53,0,Churned Customers,31349.71
12628.0,4,3,786.46,1,Loyal Customers,2359.38
12630.0,10,2,1270.88,1,Loyal Customers,2541.76
12631.0,57,1,640.5,1,Loyal Customers,640.5
12633.0,59,4,2163.98,3,New Customers,8655.92
12635.0,90,2,1689.18,1,Loyal Customers,3378.36
12637.0,67,8,6021.9,0,Churned Customers,48175.2
12638.0,33,1,671.69,1,Loyal Customers,671.69
12639.0,239,1,486.1,2,Potential Loyalists,486.1
12640.0,24,3,1174.58,3,New Customers,3523.74
12641.0,115,1,185.9,1,Loyal Customers,185.9
12642.0,25,3,1013.26,3,New Customers,3039.7799999999997
12643.0,128,6,3344.64,0,Churned Customers,20067.84
12644.0,130,1,477.91,1,Loyal Customers,477.91
12645.0,34,4,1775.18,3,New Customers,7100.72
12646.0,5,2,1346.97,1,Loyal Customers,2693.94
12648.0,155,1,318.05,2,Potential Loyalists,318.05
12649.0,107,3,623.51,1,Loyal Customers,1870.53
12650.0,3,1,314.44,1,Loyal Customers,314.44
12653.0,149,2,2209.85,3,New Customers,4419.7
12654.0,11,5,601.98,3,New Customers,3009.9
12656.0,17,5,4051.17,0,Churned Customers,20255.85
12657.0,11,4,1643.18,3,New Customers,6572.72
12658.0,19,1,686.05,1,Loyal Customers,686.05
12659.0,30,1,91.68,1,Loyal Customers,91.68
12660.0,11,1,245.1,1,Loyal Customers,245.1
12664.0,8,9,4881.88,0,Churned Customers,43936.92
12667.0,58,1,620.13,1,Loyal Customers,620.13
12668.0,12,4,3807.15,0,Churned Customers,15228.6
12669.0,151,3,2744.03,3,New Customers,8232.09
12670.0,10,5,2996.05,0,Churned Customers,14980.25
12673.0,5,2,610.52,1,Loyal Customers,1221.04
12674.0,39,4,1970.6,3,New Customers,7882.4
12676.0,25,6,1331.39,3,New Customers,7988.34
12679.0,59,4,1113.02,3,New Customers,4452.08
12680.0,1,4,862.81,3,New Customers,3451.24
12684.0,8,7,2283.63,0,Churned Customers,15985.41
12685.0,28,6,2863.08,0,Churned Customers,17178.48
12688.0,114,1,4873.81,0,Churned Customers,4873.81
12689.0,26,2,1247.61,1,Loyal Customers,2495.22
12690.0,206,1,389.01,2,Potential Loyalists,389.01
12691.0,28,6,1035.8,3,New Customers,6214.799999999999
12693.0,127,4,855.91,3,New Customers,3423.64
12694.0,70,2,869.67,1,Loyal Customers,1739.34
12695.0,7,4,582.1,3,New Customers,2328.4
12697.0,29,3,957.59,3,New Customers,2872.77
12700.0,8,4,4939.99,0,Churned Customers,19759.96
12701.0,80,2,797.71,1,Loyal Customers,1595.42
12702.0,20,1,219.0,1,Loyal Customers,219.0
12703.0,71,1,283.55,1,Loyal Customers,283.55
12704.0,7,8,2340.84,0,Churned Customers,18726.72
12707.0,292,1,603.42,2,Potential Loyalists,603.42
12710.0,97,3,1149.02,3,New Customers,3447.06
12713.0,1,1,848.55,1,Loyal Customers,848.55
12714.0,9,5,4708.86,0,Churned Customers,23544.3
12715.0,106,1,353.86,1,Loyal Customers,353.86
12716.0,4,2,1053.49,1,Loyal Customers,2106.98
12717.0,151,2,1030.98,2,Potential Loyalists,2061.96
12718.0,71,1,238.25,1,Loyal Customers,238.25
12719.0,5,2,644.95,1,Loyal Customers,1289.9
12721.0,32,6,2656.13,0,Churned Customers,15936.78
12722.0,85,4,997.63,3,New Customers,3990.52
12723.0,4,5,725.07,3,New Customers,3625.3500000000004
12724.0,5,4,1031.41,3,New Customers,4125.64
12726.0,28,7,2609.1,0,Churned Customers,18263.7
12727.0,11,7,3980.7,0,Churned Customers,27864.899999999998
12728.0,71,4,836.33,3,New Customers,3345.32
12729.0,114,1,453.01,1,Loyal Customers,453.01
12732.0,180,1,236.26,2,Potential Loyalists,236.26
12733.0,234,1,383.95,2,Potential Loyalists,383.95
12739.0,78,2,1013.04,1,Loyal Customers,2026.08
12740.0,64,1,427.6,1,Loyal Customers,427.6
12743.0,134,2,546.43,1,Loyal Customers,1092.86
12749.0,4,5,4090.88,0,Churned Customers,20454.4
12750.0,129,1,275.88,1,Loyal Customers,275.88
12752.0,81,1,4366.78,0,Churned Customers,4366.78
12754.0,236,3,3010.74,2,Potential Loyalists,9032.22
12755.0,281,2,3811.95,2,Potential Loyalists,7623.9
12756.0,87,1,112.08,1,Loyal Customers,112.08
12758.0,117,2,2791.59,3,New Customers,5583.18
12759.0,52,3,1531.44,3,New Customers,4594.32
12762.0,8,2,1898.52,3,New Customers,3797.04
12763.0,138,2,494.08,2,Potential Loyalists,988.16
12769.0,239,1,1143.6,2,Potential Loyalists,1143.6
12770.0,211,1,1351.45,2,Potential Loyalists,1351.45
12772.0,60,1,892.47,1,Loyal Customers,892.47
12775.0,17,5,1386.04,3,New Customers,6930.2
12778.0,20,6,822.23,3,New Customers,4933.38
12779.0,38,8,3981.36,0,Churned Customers,31850.88
12781.0,64,2,826.74,1,Loyal Customers,1653.48
12782.0,5,5,2330.92,3,New Customers,11654.6
12783.0,2,6,2225.91,0,Churned Customers,13355.46
12784.0,9,2,574.42,1,Loyal Customers,1148.84
12787.0,10,3,463.66,1,Loyal Customers,1390.98
12789.0,65,1,91.85,1,Loyal Customers,91.85
12790.0,192,1,324.92,2,Potential Loyalists,324.92
12792.0,257,1,400.54,2,Potential Loyalists,400.54
12794.0,53,2,860.41,1,Loyal Customers,1720.82
12795.0,19,1,430.48,1,Loyal Customers,430.48
12802.0,187,1,427.58,2,Potential Loyalists,427.58
12808.0,37,3,483.65,1,Loyal Customers,1450.9499999999998
12809.0,178,1,489.31,2,Potential Loyalists,489.31
12811.0,261,3,514.85,2,Potential Loyalists,1544.5500000000002
12812.0,45,1,229.64,1,Loyal Customers,229.64
12814.0,102,1,125.92,1,Loyal Customers,125.92
12815.0,148,2,1063.46,2,Potential Loyalists,2126.92
12816.0,96,2,572.2,1,Loyal Customers,1144.4
12817.0,281,1,166.04,2,Potential Loyalists,166.04
12818.0,262,1,1542.08,2,Potential Loyalists,1542.08
12820.0,3,4,942.34,3,New Customers,3769.36
12821.0,214,1,92.72,2,Potential Loyalists,92.72
12822.0,71,2,948.88,1,Loyal Customers,1897.76
12823.0,75,5,1759.5,3,New Customers,8797.5
12824.0,60,1,397.12,1,Loyal Customers,397.12
12826.0,3,7,1474.72,3,New Customers,10323.04
12827.0,6,3,430.15,1,Loyal Customers,1290.4499999999998
12828.0,3,6,1018.71,3,New Customers,6112.26
12831.0,262,1,215.05,2,Potential Loyalists,215.05
12832.0,32,2,383.03,1,Loyal Customers,766.06
12833.0,145,1,417.38,2,Potential Loyalists,417.38
12834.0,283,1,312.38,2,Potential Loyalists,312.38
12836.0,59,4,2612.86,3,New Customers,10451.44
12837.0,173,1,134.1,2,Potential Loyalists,134.1
12838.0,34,2,683.13,1,Loyal Customers,1366.26
12840.0,144,4,2726.77,0,Churned Customers,10907.08
12842.0,70,2,1118.99,1,Loyal Customers,2237.98
12843.0,66,8,1702.26,0,Churned Customers,13618.08
12844.0,29,2,325.96,1,Loyal Customers,651.92
12845.0,267,4,354.09,2,Potential Loyalists,1416.36
12847.0,22,1,871.54,1,Loyal Customers,871.54
12849.0,31,2,1050.89,1,Loyal Customers,2101.78
12851.0,97,1,135.18,1,Loyal Customers,135.18
12852.0,295,1,311.55,2,Potential Loyalists,311.55
12853.0,135,6,1957.1,3,New Customers,11742.599999999999
12854.0,79,3,1324.5,3,New Customers,3973.5
12856.0,8,6,2179.93,0,Churned Customers,13079.579999999998
12857.0,211,2,1106.4,2,Potential Loyalists,2212.8
12863.0,52,1,521.2,1,Loyal Customers,521.2
12864.0,138,1,147.12,2,Potential Loyalists,147.12
12865.0,26,2,1568.23,1,Loyal Customers,3136.46
12866.0,283,1,559.12,2,Potential Loyalists,559.12
12867.0,26,7,4036.82,0,Churned Customers,28257.74
12868.0,186,6,1607.06,3,New Customers,9642.36
12871.0,84,2,380.64,1,Loyal Customers,761.28
